epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4759,1.6838,3.08364,1.74648,0.26159,0.26396,0.19849,0.06911,1.91227,4.39519,2.2543,0.000551185,0.000551185,0.000551185
2,26.8932,1.91346,2.78939,1.94306,0.68853,0.13393,0.13435,0.07766,2.35247,9.9889,3.04592,0.00108494,0.00108494,0.00108494
3,40.2202,1.96202,2.77468,1.96364,0.10035,0.12993,0.02815,0.00783,2.82828,6.23943,3.24378,0.00159668,0.00159668,0.00159668
4,53.2472,1.98007,2.75139,1.96962,0.28619,0.21403,0.15718,0.07289,2.41195,6.6509,2.88841,0.00156798,0.00156798,0.00156798
5,66.4578,1.91159,2.64334,1.922,0.3334,0.19291,0.20858,0.09073,1.95419,2.93109,2.09401,0.00153497,0.00153497,0.00153497
6,79.9899,1.92598,2.77998,1.95907,0.27595,0.4279,0.24867,0.11666,1.96823,3.79597,2.19469,0.00150197,0.00150197,0.00150197
7,93.3513,1.79752,2.45688,1.83751,0.35807,0.36366,0.24155,0.1222,2.0029,3.08874,2.2348,0.00146896,0.00146896,0.00146896
8,106.76,1.83464,2.46563,1.86597,0.42578,0.42811,0.31899,0.14828,2.0937,4.41529,2.44126,0.00143595,0.00143595,0.00143595
9,120.217,1.74098,2.26509,1.80523,0.48496,0.46485,0.38266,0.19723,1.93816,2.22368,2.19317,0.00140295,0.00140295,0.00140295
10,133.588,1.73649,2.33753,1.80095,0.39074,0.37259,0.27805,0.13281,2.12966,2.60341,2.4761,0.00136994,0.00136994,0.00136994
11,146.726,1.74908,2.30584,1.81176,0.38126,0.44386,0.34074,0.16465,2.00568,3.39046,2.30235,0.00133693,0.00133693,0.00133693
12,160.054,1.69004,2.16711,1.75459,0.42075,0.37038,0.34586,0.16686,2.08573,2.87366,2.5003,0.00130393,0.00130393,0.00130393
13,173.246,1.65383,2.10543,1.74265,0.457,0.4804,0.34902,0.18938,2.48347,5.30723,2.73226,0.00127092,0.00127092,0.00127092
14,186.204,1.70229,2.11399,1.79827,0.5885,0.47594,0.47661,0.27576,1.94537,2.38273,2.12723,0.00123791,0.00123791,0.00123791
15,199.452,1.62722,2.02422,1.71526,0.62523,0.54803,0.57162,0.31887,1.91061,1.92946,2.20974,0.00120491,0.00120491,0.00120491
16,212.95,1.60503,1.99108,1.71269,0.58542,0.51016,0.48318,0.25764,1.87372,2.27573,2.1149,0.0011719,0.0011719,0.0011719
17,226.125,1.59551,1.98706,1.71314,0.47072,0.39789,0.37396,0.19998,1.97603,2.35047,2.20682,0.00113889,0.00113889,0.00113889
18,239.126,1.59258,1.96692,1.68928,0.4736,0.54194,0.47998,0.26984,1.77823,2.15327,2.09818,0.00110589,0.00110589,0.00110589
19,252.214,1.54721,1.85709,1.65067,0.5728,0.47801,0.49307,0.26383,1.93749,1.76604,2.14457,0.00107288,0.00107288,0.00107288
20,265.184,1.55414,1.80128,1.66349,0.61116,0.52602,0.5131,0.29802,1.83755,2.10242,2.1298,0.00103987,0.00103987,0.00103987
21,278.191,1.55147,1.8349,1.66801,0.6375,0.4903,0.49535,0.2724,1.89564,1.97653,2.27292,0.00100687,0.00100687,0.00100687
22,291.24,1.50489,1.75844,1.65141,0.43057,0.53863,0.41981,0.21107,1.89295,2.12911,2.28372,0.000973861,0.000973861,0.000973861
23,304.347,1.51606,1.78583,1.64604,0.55924,0.51401,0.47672,0.25602,1.98367,1.95156,2.34045,0.000940855,0.000940855,0.000940855
24,317.495,1.49344,1.74705,1.61123,0.54951,0.50379,0.46012,0.25467,1.95725,2.83675,2.21912,0.000907848,0.000907848,0.000907848
25,330.549,1.43422,1.63101,1.57447,0.5444,0.55583,0.48207,0.26359,1.92975,1.73183,2.24719,0.000874842,0.000874842,0.000874842
26,343.596,1.45892,1.62914,1.59048,0.5134,0.49974,0.48786,0.2592,1.79596,1.96885,2.08807,0.000841835,0.000841835,0.000841835
27,356.591,1.45322,1.62764,1.60005,0.50613,0.45677,0.42673,0.22896,1.87375,2.18527,2.17085,0.000808828,0.000808828,0.000808828
28,369.618,1.44764,1.58013,1.58386,0.50238,0.45201,0.41126,0.2146,1.86737,1.67637,2.19362,0.000775822,0.000775822,0.000775822
29,382.661,1.41809,1.56189,1.55124,0.51032,0.49815,0.47716,0.26226,1.856,1.86073,2.20806,0.000742815,0.000742815,0.000742815
30,395.638,1.37732,1.50116,1.53186,0.5855,0.55198,0.50713,0.28177,1.75501,1.50273,2.03941,0.000709809,0.000709809,0.000709809
31,408.596,1.39183,1.52109,1.5534,0.4703,0.41077,0.41409,0.21486,1.85626,1.91754,2.11647,0.000676802,0.000676802,0.000676802
32,421.617,1.38452,1.47574,1.53437,0.53879,0.54224,0.48154,0.25666,1.90717,1.84394,2.30886,0.000643795,0.000643795,0.000643795
33,434.602,1.33917,1.41688,1.52121,0.54924,0.47578,0.46923,0.25096,1.95985,1.96364,2.3076,0.000610789,0.000610789,0.000610789
34,447.646,1.35672,1.42347,1.51572,0.5414,0.5664,0.49608,0.26836,1.94105,1.71039,2.27667,0.000577782,0.000577782,0.000577782
35,460.819,1.32593,1.34451,1.48893,0.56292,0.46049,0.48394,0.25604,1.83871,1.84917,2.13748,0.000544776,0.000544776,0.000544776
36,474.029,1.29252,1.28935,1.47096,0.47917,0.46213,0.4205,0.21915,1.91711,1.87282,2.35055,0.000511769,0.000511769,0.000511769
37,487.086,1.27771,1.2697,1.47349,0.59016,0.59617,0.51953,0.29227,1.66054,1.80509,2.0665,0.000478762,0.000478762,0.000478762
38,500.166,1.25598,1.25093,1.44939,0.60269,0.56586,0.53183,0.2899,1.92518,1.59374,2.36557,0.000445756,0.000445756,0.000445756
39,513.42,1.27244,1.2236,1.46582,0.55082,0.53417,0.47612,0.2679,1.86848,1.97246,2.21636,0.000412749,0.000412749,0.000412749
40,526.495,1.25591,1.23577,1.44652,0.51969,0.54439,0.46792,0.25107,1.92917,1.85562,2.22342,0.000379743,0.000379743,0.000379743
41,544.99,1.21844,1.11822,1.46258,0.56905,0.61779,0.51015,0.29343,1.61352,1.48673,1.95534,0.000346736,0.000346736,0.000346736
42,558.019,1.1763,1.08244,1.44053,0.54493,0.46942,0.4408,0.24292,1.79721,2.26894,2.14734,0.000313729,0.000313729,0.000313729
43,571.284,1.14722,1.01043,1.41164,0.55949,0.49271,0.4767,0.26229,1.80602,1.9461,2.06039,0.000280723,0.000280723,0.000280723
44,584.545,1.13195,0.97415,1.41305,0.5902,0.55459,0.51207,0.28859,1.76583,1.8389,2.08681,0.000247716,0.000247716,0.000247716
45,597.532,1.09515,0.99178,1.39619,0.5321,0.49754,0.47418,0.26765,1.83883,1.75829,2.16719,0.00021471,0.00021471,0.00021471
46,610.406,1.09041,0.90878,1.37755,0.51255,0.5664,0.48112,0.26209,1.7603,1.80469,2.03738,0.000181703,0.000181703,0.000181703
47,623.218,1.08372,0.9041,1.34632,0.60653,0.49779,0.48978,0.27008,1.69772,1.89492,2.04172,0.000148696,0.000148696,0.000148696
48,636.246,1.04906,0.83615,1.33699,0.58815,0.54665,0.50878,0.28398,1.90237,1.93939,2.34533,0.00011569,0.00011569,0.00011569
49,649.231,0.99743,0.78555,1.3,0.58939,0.49287,0.49046,0.27094,1.90236,1.95275,2.25618,8.26832e-05,8.26832e-05,8.26832e-05
50,662.231,1.02143,0.82837,1.32313,0.56306,0.5065,0.48126,0.26654,1.77193,2.01445,2.12235,4.96766e-05,4.96766e-05,4.96766e-05
